Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,ARD Version,Units,Collection Number,UL Corner Lat DMS,UL Corner Long DMS,UR Corner Lat DMS,UR Corner Long DMS,LR Corner Lat DMS,LR Corner Long DMS,LL Corner Lat DMS,LL Corner Long DMS,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,Display ID,Entity ID
LE07_CU_003012_20200101_20210504_02,2020/01/01,CU,3,12,2021/05/04,17.0131,6.3305,1.8906,19.8487,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200101_20210504_02,LE07_CU_003012_20200101_20210504_02
LC08_CU_003012_20200102_20210504_02,2020/01/02,CU,3,12,2021/05/04,2.5039,1.7412,0.9304,77.8788,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200102_20210504_02,LC08_CU_003012_20200102_20210504_02
LE07_CU_003012_20200108_20210504_02,2020/01/08,CU,3,12,2021/05/04,0.2561,0.1796,0.0016,93.4172,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200108_20210504_02,LE07_CU_003012_20200108_20210504_02
LC08_CU_003012_20200109_20210504_02,2020/01/09,CU,3,12,2021/05/04,17.404,10.9337,0.1042,1.517,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200109_20210504_02,LC08_CU_003012_20200109_20210504_02
LE07_CU_003012_20200110_20210504_02,2020/01/10,CU,3,12,2021/05/04,1.1416,1.2536,0.7102,80.1902,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200110_20210504_02,LE07_CU_003012_20200110_20210504_02
LC08_CU_003012_20200116_20210504_02,2020/01/16,CU,3,12,2021/05/04,55.7988,21.8945,0.0715,88.0523,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200116_20210504_02,LC08_CU_003012_20200116_20210504_02
LE07_CU_003012_20200117_20210504_02,2020/01/17,CU,3,12,2021/05/04,23.7555,6.7882,0.4842,19.8677,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200117_20210504_02,LE07_CU_003012_20200117_20210504_02
LC08_CU_003012_20200118_20210504_02,2020/01/18,CU,3,12,2021/05/04,0.3448,0.7355,0.46,77.7198,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200118_20210504_02,LC08_CU_003012_20200118_20210504_02
LE07_CU_003012_20200124_20210504_02,2020/01/24,CU,3,12,2021/05/04,3.9619,1.6852,0.0641,93.6748,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200124_20210504_02,LE07_CU_003012_20200124_20210504_02
LC08_CU_003012_20200125_20210504_02,2020/01/25,CU,3,12,2021/05/04,42.7773,6.7792,0.0727,1.613,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200125_20210504_02,LC08_CU_003012_20200125_20210504_02
LE07_CU_003012_20200126_20210504_02,2020/01/26,CU,3,12,2021/05/04,96.159,2.9049,0.3809,79.7473,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200126_20210504_02,LE07_CU_003012_20200126_20210504_02
LC08_CU_003012_20200201_20210504_02,2020/02/01,CU,3,12,2021/05/04,0.0047,0,0,88.183,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200201_20210504_02,LC08_CU_003012_20200201_20210504_02
LE07_CU_003012_20200202_20210504_02,2020/02/02,CU,3,12,2021/05/04,29.7352,3.63,0.041,20.0097,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200202_20210504_02,LE07_CU_003012_20200202_20210504_02
LC08_CU_003012_20200203_20210504_02,2020/02/03,CU,3,12,2021/05/04,16.0717,7.5746,0.0185,77.5872,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200203_20210504_02,LC08_CU_003012_20200203_20210504_02
LE07_CU_003012_20200209_20210504_02,2020/02/09,CU,3,12,2021/05/04,50.1925,16.4939,0.1461,93.8743,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200209_20210504_02,LE07_CU_003012_20200209_20210504_02
LC08_CU_003012_20200210_20210504_02,2020/02/10,CU,3,12,2021/05/04,28.6134,10.7707,0.0164,1.5988,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200210_20210504_02,LC08_CU_003012_20200210_20210504_02
LE07_CU_003012_20200211_20210504_02,2020/02/11,CU,3,12,2021/05/04,0.8624,0.9829,0.1477,79.4054,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200211_20210504_02,LE07_CU_003012_20200211_20210504_02
LC08_CU_003012_20200217_20210504_02,2020/02/17,CU,3,12,2021/05/04,0.9431,1.5457,0.0028,88.4043,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200217_20210504_02,LC08_CU_003012_20200217_20210504_02
LE07_CU_003012_20200218_20210504_02,2020/02/18,CU,3,12,2021/05/04,36.8917,10.2206,0.1224,20.165,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200218_20210504_02,LE07_CU_003012_20200218_20210504_02
LC08_CU_003012_20200219_20210504_02,2020/02/19,CU,3,12,2021/05/04,14.2532,6.9062,0.0765,77.1443,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200219_20210504_02,LC08_CU_003012_20200219_20210504_02
LE07_CU_003012_20200225_20210504_02,2020/02/25,CU,3,12,2021/05/04,0.0093,0.0013,0,94.0443,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200225_20210504_02,LE07_CU_003012_20200225_20210504_02
LC08_CU_003012_20200226_20210504_02,2020/02/26,CU,3,12,2021/05/04,0.0554,0.1701,0.0283,1.786,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200226_20210504_02,LC08_CU_003012_20200226_20210504_02
LE07_CU_003012_20200227_20210504_02,2020/02/27,CU,3,12,2021/05/04,55.5767,2.6181,0.1064,79.1883,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200227_20210504_02,LE07_CU_003012_20200227_20210504_02
LC08_CU_003012_20200304_20210504_02,2020/03/04,CU,3,12,2021/05/04,23.6406,3.7942,0,88.7599,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200304_20210504_02,LC08_CU_003012_20200304_20210504_02
LE07_CU_003012_20200305_20210504_02,2020/03/05,CU,3,12,2021/05/04,7.0295,4.0057,0.0203,20.2636,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200305_20210504_02,LE07_CU_003012_20200305_20210504_02
LC08_CU_003012_20200306_20210504_02,2020/03/06,CU,3,12,2021/05/04,34.3944,7.1721,0.0237,76.695,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200306_20210504_02,LC08_CU_003012_20200306_20210504_02
LE07_CU_003012_20200312_20210504_02,2020/03/12,CU,3,12,2021/05/04,91.523,3.7835,0.0039,94.1706,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200312_20210504_02,LE07_CU_003012_20200312_20210504_02
LC08_CU_003012_20200313_20210504_02,2020/03/13,CU,3,12,2021/05/04,99.2423,0.6021,0.01,1.9547,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200313_20210504_02,LC08_CU_003012_20200313_20210504_02
LE07_CU_003012_20200314_20210504_02,2020/03/14,CU,3,12,2021/05/04,93.275,2.4129,0.0733,79.0062,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200314_20210504_02,LE07_CU_003012_20200314_20210504_02
LC08_CU_003012_20200320_20210504_02,2020/03/20,CU,3,12,2021/05/04,99.9915,0.0085,0,89.0391,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200320_20210504_02,LC08_CU_003012_20200320_20210504_02
LE07_CU_003012_20200321_20210504_02,2020/03/21,CU,3,12,2021/05/04,15.4711,8.2369,0.0348,20.3305,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200321_20210504_02,LE07_CU_003012_20200321_20210504_02
LC08_CU_003012_20200322_20210504_02,2020/03/22,CU,3,12,2021/05/04,8.9088,6.0473,0.1929,76.2907,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200322_20210504_02,LC08_CU_003012_20200322_20210504_02
LE07_CU_003012_20200328_20210504_02,2020/03/28,CU,3,12,2021/05/04,8.8724,3.8946,0.0003,94.2298,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200328_20210504_02,LE07_CU_003012_20200328_20210504_02
LC08_CU_003012_20200329_20210504_02,2020/03/29,CU,3,12,2021/05/04,14.1222,9.8494,0.0001,1.9357,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200329_20210504_02,LC08_CU_003012_20200329_20210504_02
LE07_CU_003012_20200330_20210504_02,2020/03/30,CU,3,12,2021/05/04,1.6275,1.5886,0.6041,78.8739,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200330_20210504_02,LE07_CU_003012_20200330_20210504_02
LC08_CU_003012_20200405_20210504_02,2020/04/05,CU,3,12,2021/05/04,72.8,6.5663,0.034,89.0836,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200405_20210504_02,LC08_CU_003012_20200405_20210504_02
LC08_CU_003012_20200407_20210504_02,2020/04/07,CU,3,12,2021/05/04,99.656,0.3311,0.0097,76.0395,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200407_20210504_02,LC08_CU_003012_20200407_20210504_02
LE07_CU_003012_20200413_20210504_02,2020/04/13,CU,3,12,2021/05/04,34.4589,2.3589,0.0001,94.2228,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200413_20210504_02,LE07_CU_003012_20200413_20210504_02
LC08_CU_003012_20200414_20210504_02,2020/04/14,CU,3,12,2021/05/04,3.9342,2.6908,0.2603,2.1702,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200414_20210504_02,LC08_CU_003012_20200414_20210504_02
LE07_CU_003012_20200415_20210504_02,2020/04/15,CU,3,12,2021/05/04,0.5719,0.6072,0.7523,78.8804,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200415_20210504_02,LE07_CU_003012_20200415_20210504_02
LC08_CU_003012_20200421_20210504_02,2020/04/21,CU,3,12,2021/05/04,0.0141,0.0198,0,89.8583,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200421_20210504_02,LC08_CU_003012_20200421_20210504_02
LE07_CU_003012_20200422_20210504_02,2020/04/22,CU,3,12,2021/05/04,0.137,0.2417,0.0701,20.3178,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200422_20210504_02,LE07_CU_003012_20200422_20210504_02
LC08_CU_003012_20200423_20210504_02,2020/04/23,CU,3,12,2021/05/04,2.3724,1.8813,0.0275,74.8821,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200423_20210504_02,LC08_CU_003012_20200423_20210504_02
